year,opening_cash,opening_financial_debt,opening_revolver,opening_lease_liability,entry_enterprise_value,transaction_fees,purchase_price,total_uses,debt_sources,cash_sources,opening_cash_use,total_sources,sponsor_equity,revenue,ebitda,da,ebit,negative_ebitda_flag,operating_cash_generation,cash_before_financing,cash_taxes,capex,working_capital,delta_working_capital,cash_interest,lease_interest_cash_payment,lease_interest,lease_principal_cash_payment,lease_additions,scheduled_debt_amortisation,actual_mandatory_amortisation,unpaid_amortisation,payment_default_flag,cash_after_mandatory_amortisation,revolver_draw_for_amortisation,revolver_draw_for_liquidity,revolver_draw,revolver_repayment,cash_sweep,funding_deficit,insolvency_flag,cash_after_financing,debt_balance,revolver_balance,lease_liability,cash,ending_cash,exit_enterprise_value,exit_equity,scenario_id,scenario_type,analytic_leverage,analytic_icr,simulated_leverage,simulated_icr,leverage_difference,icr_difference
1,27.0,624.0,0.0,429.00000000000006,9000.0,270.0,9000.0,9297.0,624.0,0.0,27.0,9297.0,8673.0,1200.0,182.92409870305465,36.0,146.92409870305465,False,54.025574027291,35.36394646314451,22.008524675763663,48.0,24.0,0.0,37.44,21.450000000000003,21.450000000000003,45.66162756414649,14.655056046481512,30.0,30.0,0.0,False,5.363946463144508,0.0,19.636053536855492,19.636053536855492,0.0,0.0,0.0,False,25.0,594.0,19.636053536855492,397.99342848233505,25.0,25.0,0.0,0.0,0000,distressed,3.9919717249680695,4.495285336636744,5.393655013278547,3.106199672322205,-1.4016832883104775,1.389085664314539
2,25.0,594.0,19.636053536855492,397.99342848233505,9000.0,270.0,9000.0,9297.0,624.0,0.0,27.0,9297.0,8673.0,1096.537005342717,167.15253616405263,32.89611016028151,134.25642600377114,False,49.257833365300804,31.896463425118625,19.38464784186077,43.86148021370868,21.93074010685434,-2.0692598931456594,36.818163212211324,19.899671424116754,19.899671424116754,42.36136994018217,13.391509391948762,30.0,30.0,0.0,False,1.8964634251186254,0.0,23.103536574881375,23.103536574881375,0.0,0.0,0.0,False,25.0,564.0,42.73959011173687,369.02356793410166,25.0,25.0,0.0,0.0,0000,distressed,3.9737433308164856,4.5053958327750125,5.6879972022243654,2.947089521943606,-1.7142538714078799,1.5583063108314064
3,25.0,564.0,42.73959011173687,369.02356793410166,9000.0,270.0,9000.0,9297.0,624.0,0.0,27.0,9297.0,8673.0,1001.9945034049783,152.74078453397541,30.05983510214935,122.68094943182606,False,42.73995172601754,28.46205727054094,16.95634890710419,40.07978013619913,20.039890068099567,-1.890850038754774,36.40437540670421,18.451178396705085,18.451178396705085,39.2778944554766,12.23690467138864,30.0,30.0,0.0,False,0.0,1.5379427294590613,25.0,26.53794272945906,0.0,0.0,0.0,False,25.0,534.0,69.27753284119592,341.9825781500137,25.0,25.0,0.0,0.0,0000,distressed,3.956999209401591,4.513376401235591,6.0249796005631255,2.7844178746488657,-2.0679803911615346,1.7289585265867249
4,25.0,534.0,69.27753284119592,341.9825781500137,9000.0,270.0,9000.0,9297.0,624.0,0.0,27.0,9297.0,8673.0,915.603376777965,139.5716020554855,27.468101303338948,112.10350075214654,False,36.6775786703912,25.27785578714517,14.701929968543528,36.6241350711186,18.3120675355593,-1.7278225325402659,36.196651970471756,17.099128907500685,17.099128907500685,36.39972288324603,11.181849002524004,30.0,30.0,0.0,False,0.0,4.722144212854829,25.0,29.72214421285483,0.0,0.0,0.0,False,25.0,504.0,98.99967705405075,316.76470426929166,25.0,25.0,0.0,0.0,0000,distressed,3.9419132420696683,4.518935383668133,6.410791078887498,2.618811466053057,-2.4688778368178297,1.9001239176150757
5,25.0,504.0,98.99967705405075,316.76470426929166,9000.0,270.0,9000.0,9297.0,624.0,0.0,27.0,9297.0,8673.0,836.660820711491,127.53785545733959,25.09982462134473,102.43803083599485,False,31.027104163679994,22.31150520840867,12.604953749821806,33.466432828459645,16.733216414229823,-1.5788511213294782,36.17998062324304,15.838235213464584,15.838235213464584,33.715598955271325,10.217759349518435,30.0,23.31182815435792,6.688171845642081,True,0.0,1.0003229459492502,0.0,1.0003229459492502,0.0,0.0,25.0,True,0.0,480.6881718456421,100.0,293.26686466353874,0.0,0.0,1020.3028436587167,131.04326449465518,0000,distressed,3.928691955598786,4.5217401410644245,6.8525147563070945,2.4517921925215305,-2.9238228007083085,2.069947948542894
1,30.0,390.0,0.0,300.0,5700.0,171.0,5700.0,5901.0,390.0,0.0,30.0,5901.0,5511.0,760.0,137.55966476535917,22.8,114.75966476535918,False,49.669748574019366,38.14882416164718,19.089916191339796,30.400000000000002,15.200000000000001,0.0,23.4,15.0,15.0,41.52092441237219,5.941709435121445,30.0,30.0,0.0,False,8.148824161647177,0.0,16.851175838352823,16.851175838352823,0.0,0.0,0.0,False,25.0,360.0,16.851175838352823,264.4207850227492,25.0,25.0,0.0,0.0,0001,base,4.087263061909535,4.379048081679494,4.4800338959265495,3.5822829365978954,-0.3927708340170142,0.7967651450815989
2,25.0,360.0,16.851175838352823,264.4207850227492,5700.0,171.0,5700.0,5901.0,390.0,0.0,30.0,5901.0,5511.0,767.3933728010301,138.89786198114209,23.021801184030902,115.87606079711118,False,52.21116206272352,40.614510636091225,20.01098774891814,30.695734912041203,15.347867456020602,0.14786745602060059,22.61107055030117,13.221039251137462,13.221039251137462,36.59665142663229,5.999511110028354,30.0,30.0,0.0,False,10.614510636091225,0.0,14.385489363908775,14.385489363908775,0.0,0.0,0.0,False,25.0,330.0,31.236665202261598,233.8236447061453,25.0,25.0,0.0,0.0,0001,base,3.6747577361595694,4.833504273906709,4.10416907630877,3.8763517624509354,-0.42941134014920035,0.957152511455774
3,25.0,330.0,31.236665202261598,233.8236447061453,5700.0,171.0,5700.0,5901.0,390.0,0.0,30.0,5901.0,5511.0,774.8586692354484,140.2490773428429,23.24576007706345,117.00331726577944,False,54.83055871770952,47.46864579214542,20.90948377958412,30.994346769417934,15.497173384708967,0.14930592868836534,21.674199912135695,11.691182235307267,11.691182235307267,32.3619129255641,6.057875086686725,30.0,30.0,0.0,False,17.468645792145423,0.0,7.5313542078545765,7.5313542078545765,0.0,0.0,0.0,False,25.0,300.0,38.768019410116175,207.51960686726792,25.0,25.0,0.0,0.0,0001,base,3.2892377041305623,5.362393720404772,3.716870272187827,4.203430871047021,-0.4276325680572648,1.158962849357751
4,25.0,300.0,38.768019410116175,207.51960686726792,5700.0,171.0,5700.0,5901.0,390.0,0.0,30.0,5901.0,5511.0,782.3965889851428,141.61343749257466,23.471897669554284,118.14153982302038,False,57.6048844514422,53.88353141537212,21.859869578762503,31.295863559405714,15.647931779702857,0.15075839499388977,20.32608116460697,10.375980343363397,10.375980343363397,28.72135303607008,6.116806835236655,30.0,30.0,0.0,False,23.88353141537212,0.0,1.1164685846278815,1.1164685846278815,0.0,0.0,0.0,False,25.0,270.0,39.884487994744056,184.9150606664345,25.0,25.0,0.0,0.0,0001,base,2.925002923165783,5.9923350569066,3.317478602168752,4.6125058232917455,-0.3924756790029691,1.3798292336148545
5,25.0,270.0,39.884487994744056,184.9150606664345,5700.0,171.0,5700.0,5901.0,390.0,0.0,30.0,5901.0,5511.0,790.0078385385921,142.9910703044404,23.70023515615776,119.29083514828264,False,60.53670625000231,59.943892061201495,22.86300320881907,31.600313541543684,15.800156770771842,0.15222499106898546,18.59306927968464,9.245753033321725,9.245753033321725,25.592814188800816,6.176311879032436,30.0,30.0,0.0,False,29.943892061201495,0.0,0.0,0.0,4.943892061201495,0.0,0.0,False,25.0,240.0,34.94059593354256,165.4985583566661,25.0,25.0,1143.9285624355232,711.3304797087817,0001,base,2.5770994830874177,6.763789972926391,2.905350336952529,5.1363907817908885,-0.3282508538651112,1.6273991911355026
