held_out_template,debt_multiple,feasible_candidate_exists,best_feasible_median_annualized_return,best_feasible_mean_annualized_return,best_feasible_annualized_return_q10,best_feasible_broad_failure_rate,best_feasible_payment_default_rate,best_feasible_insolvency_rate,best_feasible_covenant_breach_rate,best_feasible_total_equity_loss_rate
SYN_HOTEL_001,1.5,True,0.0124710714491458,-0.0107343242992247,-0.1520611080995161,0.0175,0.0025,0.005,0.0175,0.0025
SYN_HOTEL_001,1.75,True,0.0111210334372737,-0.0149828168734817,-0.1651818006164477,0.0225,0.005,0.0075,0.0225,0.0025
SYN_HOTEL_001,2.0,True,0.0095774417230499,-0.0220472411082314,-0.1804164103664537,0.03,0.01,0.0175,0.0275,0.005
SYN_HOTEL_001,2.25,True,0.0078860855403121,-0.0338743211568685,-0.1984014403577865,0.045,0.02,0.0275,0.045,0.02
SYN_HOTEL_001,2.5,True,0.0060246142241754,-0.0415894078211586,-0.2200993770235689,0.06,0.0275,0.035,0.06,0.025
SYN_HOTEL_001,2.75,False,,,,,,,,
SYN_HOTEL_001,3.0,False,,,,,,,,
SYN_HOTEL_002,1.5,True,0.0111691089720522,-0.0131806796390736,-0.1557075855916295,0.0175,0.0075,0.015,0.0175,0.0025
SYN_HOTEL_002,1.75,True,0.0097952574182057,-0.0176283970403115,-0.1691613894014184,0.02,0.005,0.0075,0.02,0.0025
SYN_HOTEL_002,2.0,True,0.0081929148237908,-0.024915952481093,-0.1848101675269547,0.035,0.01,0.0175,0.0325,0.005
SYN_HOTEL_002,2.25,True,0.006437313904431,-0.0367774837417308,-0.2033276976548314,0.05,0.0175,0.025,0.05,0.02
SYN_HOTEL_002,2.5,True,0.0045052876276711,-0.0448430496297719,-0.2257420692208401,0.0625,0.025,0.0325,0.0625,0.0225
SYN_HOTEL_002,2.75,False,,,,,,,,
SYN_HOTEL_002,3.0,False,,,,,,,,
SYN_HOTEL_003,1.5,True,0.0035382132685414,-0.0163802775389256,-0.1556452797965042,0.0175,0.0025,0.005,0.0175,0.0025
SYN_HOTEL_003,1.75,True,0.0017002177697594,-0.0210055167690258,-0.1691363907595348,0.0225,0.005,0.0075,0.0225,0.0025
SYN_HOTEL_003,2.0,True,-0.0003089783296039,-0.0285068076287657,-0.1848498878128926,0.035,0.01,0.0175,0.0325,0.005
SYN_HOTEL_003,2.25,True,-0.0025145761341584,-0.0409608601853819,-0.2034576747994212,0.05,0.02,0.0275,0.05,0.02
SYN_HOTEL_003,2.5,True,-0.0049470044016383,-0.048882764410172,-0.2260027693551845,0.065,0.0275,0.035,0.065,0.0225
SYN_HOTEL_003,2.75,False,,,,,,,,
SYN_HOTEL_003,3.0,False,,,,,,,,
SYN_HOTEL_004,1.5,True,0.0179853842111611,0.003301836398244,-0.123033688703028,0.0,0.0,0.0,0.0,0.0
SYN_HOTEL_004,1.75,True,0.0169604211604953,0.0003534789887245,-0.1332761250260217,0.005,0.0,0.0025,0.005,0.0
SYN_HOTEL_004,2.0,True,0.0156992860989254,-0.0033729531276292,-0.1449638572856384,0.015,0.0,0.0,0.015,0.0
SYN_HOTEL_004,2.25,False,,,,,,,,
SYN_HOTEL_004,2.5,False,,,,,,,,
SYN_HOTEL_004,2.75,False,,,,,,,,
SYN_HOTEL_004,3.0,False,,,,,,,,
SYN_HOTEL_005,1.5,True,-0.0002421286707242,-0.0185231904753985,-0.1565935459830778,0.0175,0.0025,0.005,0.0175,0.0025
SYN_HOTEL_005,1.75,True,-0.0022652471444418,-0.0233120881251356,-0.1701417514970808,0.02,0.005,0.0075,0.02,0.0025
SYN_HOTEL_005,2.0,True,-0.0044786832667137,-0.0308393234572079,-0.1859094677705159,0.035,0.01,0.0175,0.0325,0.005
SYN_HOTEL_005,2.25,True,-0.0069107694598138,-0.0425182013337609,-0.2045820607795562,0.0525,0.02,0.0275,0.0525,0.0175
SYN_HOTEL_005,2.5,True,-0.0095957912702832,-0.0519078709566092,-0.227208168776758,0.07,0.0275,0.035,0.07,0.0225
SYN_HOTEL_005,2.75,False,,,,,,,,
SYN_HOTEL_005,3.0,False,,,,,,,,
